,Area Type,Area Name,Year,Month,Date,Industry Title,Industry Current Employment,Regional Labor Force,Regional Employment,Regional Unemployment,Regional Unemployment Rate
3690,State,California,2014,January,01/1/2014,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,246600,18496400,16922600,1573700,8.5
3691,State,California,2014,January,01/1/2014,Nondepository Credit Intermediation,50600,18496400,16922600,1573700,8.5
3692,State,California,2014,January,01/1/2014,Real Estate,199800,18496400,16922600,1573700,8.5
3693,State,California,2014,January,01/1/2014,General Rental Centers,3700,18496400,16922600,1573700,8.5
3694,State,California,2014,January,01/1/2014,Comm & Industrial Mach Rental & Leasing,17000,18496400,16922600,1573700,8.5
3695,State,California,2014,January,01/1/2014,          State Government Educational Services,234000,18496400,16922600,1573700,8.5
3696,State,California,2014,January,01/1/2014,            City Government,252000,18496400,16922600,1573700,8.5
3697,State,California,2014,January,01/1/2014,          Local Government Educational Services,911500,18496400,16922600,1573700,8.5
3698,State,California,2014,January,01/1/2014,Civic & Social Organizations,38800,18496400,16922600,1573700,8.5
3699,State,California,2014,January,01/1/2014,"Bus,Labor, Political & Other like Org.",40400,18496400,16922600,1573700,8.5
3700,State,California,2014,January,01/1/2014,Electronic Instrument Manufacturing,73400,18496400,16922600,1573700,8.5
3701,State,California,2014,January,01/1/2014,            Aerospace Product and Parts Manufacturing,77300,18496400,16922600,1573700,8.5
3702,State,California,2014,January,01/1/2014,            Household and Institutional Furniture and Kitchen Cabinet Manufacturing,21300,18496400,16922600,1573700,8.5
3703,State,California,2014,January,01/1/2014,            Bakeries and Tortilla Manufacturing,40800,18496400,16922600,1573700,8.5
3704,State,California,2014,January,01/1/2014,Other Food Mfg.,29200,18496400,16922600,1573700,8.5
3705,State,California,2014,January,01/1/2014,          Beverage and Tobacco Product Manufacturing,47300,18496400,16922600,1573700,8.5
3706,State,California,2014,January,01/1/2014,Medical Equipment & Supplies Mfg.,56800,18496400,16922600,1573700,8.5
3707,State,California,2014,January,01/1/2014,Fruit & Vegetable Preserving & Specialty,23500,18496400,16922600,1573700,8.5
3708,State,California,2014,January,01/1/2014,Electronic Computer Manufacturing,50800,18496400,16922600,1573700,8.5
3709,State,California,2014,January,01/1/2014,Communications Equipment Manufacturing,22500,18496400,16922600,1573700,8.5
3710,State,California,2014,January,01/1/2014,Semiconductor and Electronic Component M,91600,18496400,16922600,1573700,8.5
3711,State,California,2014,January,01/1/2014,            Ship and Boat Building,7200,18496400,16922600,1573700,8.5
3712,State,California,2014,January,01/1/2014,Semiconductor and Related Devices Manufa,50700,18496400,16922600,1573700,8.5
3713,State,California,2014,January,01/1/2014,Electrical Equipment and Appliance Manuf,29400,18496400,16922600,1573700,8.5
3714,State,California,2014,January,01/1/2014,          Furniture and Related Product Manufacturing,33300,18496400,16922600,1573700,8.5
3715,State,California,2014,January,01/1/2014,Miscellaneous Durable Goods Manufacturing,87400,18496400,16922600,1573700,8.5
3716,State,California,2014,January,01/1/2014,Bare Printed Circuit Board Manufacturing,8600,18496400,16922600,1573700,8.5
3717,State,California,2014,January,01/1/2014,          Computer and Electronic Product Manufacturing,263000,18496400,16922600,1573700,8.5
3718,State,California,2014,January,01/1/2014,            Computer and Peripheral Equipment Manufacturing,63600,18496400,16922600,1573700,8.5
3719,State,California,2014,January,01/1/2014,Transportation Equipment Manufacturing,110800,18496400,16922600,1573700,8.5
3720,State,California,2014,January,01/1/2014,Motor Vehicle Mfg.,5500,18496400,16922600,1573700,8.5
3721,State,California,2014,January,01/1/2014,            Pharmaceutical and Medicine Manufacturing,40700,18496400,16922600,1573700,8.5
